"pli-tv-bu-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bu-pm:150.0","Confession 85: Entering a Village at the Wrong Time "
"pli-tv-bu-pm:150.1","pli-tv-bu-vb-pc85:4.9.1"
"pli-tv-bu-pm:151.0","Confession 86: Needle Case "
"pli-tv-bu-pm:151.1","pli-tv-bu-vb-pc86:1.20.1"
"pli-tv-bu-pm:152.0","Confession 87: Beds and Benches "
"pli-tv-bu-pm:152.1","pli-tv-bu-vb-pc87:1.11.1"
"pli-tv-bu-pm:153.0","Confession 88: Upholstery "
"pli-tv-bu-pm:153.1","pli-tv-bu-vb-pc88:1.14.1"
"pli-tv-bu-pm:154.0","Confession 89: Sitting Mats "
"pli-tv-bu-pm:154.1","pli-tv-bu-vb-pc89:2.10.1"
"pli-tv-bu-pm:155.0","Confession 90: Itch Bandage "
"pli-tv-bu-pm:155.1","pli-tv-bu-vb-pc90:1.14.1"
"pli-tv-bu-pm:156.0","Confession 91: Rainy-Season Robes "
"pli-tv-bu-pm:156.1","pli-tv-bu-vb-pc91:1.14.1"
"pli-tv-bu-pm:157.0","Confession 92: Robe Size "
"pli-tv-bu-pm:157.1","pli-tv-bu-vb-pc92:1.15.1"
"pli-tv-bu-pm:157.2","pli-tv-bu-vb-pc92:1.16"
"pli-tv-bu-pm:157.3","pli-tv-bu-vb-pc92:2.2.8"
"pli-tv-bu-pm:158.1","pli-tv-bu-vb-pc92:2.2.14"
"pli-tv-bu-pm:158.2","pli-tv-bu-vb-pc92:2.2.15,pli-tv-bu-vb-pc92:2.2.16"
"pli-tv-bu-pm:158.3","pli-tv-bu-vb-pc92:2.2.17,pli-tv-bu-vb-pc92:2.2.18"
"pli-tv-bu-pm:158.4","pli-tv-bu-vb-pc92:2.2.19,pli-tv-bu-vb-pc92:2.2.20"
"pli-tv-bu-pm:158.5","pli-tv-bu-vb-pc92:2.2.21"
"pli-tv-bu-pm:158.6","pli-tv-bu-vb-pc92:2.2.23"
"pli-tv-bu-pm:159.0","Recitation of the Rules of Acknowledgement "
"pli-tv-bu-pm:159.1","pli-tv-bu-vb-pd1:0.5"
"pli-tv-bu-pm:160.0","Acknowledgement 1: Receiving a Nun’s Food "
"pli-tv-bu-pm:160.1","pli-tv-bu-vb-pd1:1.35.1"
"pli-tv-bu-pm:160.2","pli-tv-bu-vb-pd1:1.36"
"pli-tv-bu-pm:161.0","Acknowledgement 2: Letting a Nun Order Food "
"pli-tv-bu-pm:161.1","pli-tv-bu-vb-pd2:1.15.1"
"pli-tv-bu-pm:161.2","pli-tv-bu-vb-pd2:1.16"
"pli-tv-bu-pm:162.0","Acknowledgement 3: Receiving Food From Designated Familes "
"pli-tv-bu-pm:162.1","pli-tv-bu-vb-pd3:3.15.1"
"pli-tv-bu-pm:162.2","pli-tv-bu-vb-pd3:3.16"
"pli-tv-bu-pm:163.0","Acknowledgement 4: Receiving Food in a Dangerous Region "
"pli-tv-bu-pm:163.1","pli-tv-bu-vb-pd4:2.12.1"
"pli-tv-bu-pm:163.2","pli-tv-bu-vb-pd4:2.13"
"pli-tv-bu-pm:164.1","pli-tv-bu-vb-pd4:3.2.11"
"pli-tv-bu-pm:164.2","pli-tv-bu-vb-pd4:3.2.12,pli-tv-bu-vb-pd4:3.2.13"
"pli-tv-bu-pm:164.3","pli-tv-bu-vb-pd4:3.2.14,pli-tv-bu-vb-pd4:3.2.15"
"pli-tv-bu-pm:164.4","pli-tv-bu-vb-pd4:3.2.16,pli-tv-bu-vb-pd4:3.2.17"
"pli-tv-bu-pm:164.5","pli-tv-bu-vb-pd4:3.2.18"
"pli-tv-bu-pm:164.6","pli-tv-bu-vb-pd4:3.2.19"
"pli-tv-bu-pm:165.0","Recitation of the Rules of Training "
"pli-tv-bu-pm:165.1","pli-tv-bu-vb-sk1:0.6"
"pli-tv-bu-pm:166.0.2","Training 1: Evenly All Around "
"pli-tv-bu-pm:166.1","pli-tv-bu-vb-sk1:1.16.1"
"pli-tv-bu-pm:167.0","Training 2 "
"pli-tv-bu-pm:167.1","pli-tv-bu-vb-sk2:1.3.1"
"pli-tv-bu-pm:168.0","Training 3: Well-Covered "
"pli-tv-bu-pm:168.1","pli-tv-bu-vb-sk3:1.3.1"
"pli-tv-bu-pm:169.0","Training 4 "
"pli-tv-bu-pm:169.1","pli-tv-bu-vb-sk4:1.3.1"
"pli-tv-bu-pm:170.0","Training 5: Well-Restrained "
"pli-tv-bu-pm:170.1","pli-tv-bu-vb-sk5:1.3.1"
"pli-tv-bu-pm:171.0","Training 6: Well-Restrained (2nd) "
"pli-tv-bu-pm:171.1","pli-tv-bu-vb-sk6:1.3.1"
"pli-tv-bu-pm:172.0","Training 7: Lowered Eyes "
"pli-tv-bu-pm:172.1","pli-tv-bu-vb-sk7:1.3.1"
"pli-tv-bu-pm:173.0",""
"pli-tv-bu-pm:173.1","pli-tv-bu-vb-sk8:1.3.1"
"pli-tv-bu-pm:174.0","Training 9: Lifted Robe "
"pli-tv-bu-pm:174.1","pli-tv-bu-vb-sk9:1.3.1"
"pli-tv-bu-pm:175.0","Training 10 "
"pli-tv-bu-pm:175.1","pli-tv-bu-vb-sk10:1.3.1"
"pli-tv-bu-pm:175.2","pli-tv-bu-vb-sk10:1.16"
"pli-tv-bu-pm:176.0.1","Training Training 11: Laughing Loudly "
"pli-tv-bu-pm:177.1","pli-tv-bu-vb-sk11:1.3.1"
"pli-tv-bu-pm:178.0","Training 12 "
"pli-tv-bu-pm:178.1","pli-tv-bu-vb-sk12:1.3.1"
"pli-tv-bu-pm:179.0","Training 13: Not Noisy "
"pli-tv-bu-pm:179.1","pli-tv-bu-vb-sk13:1.3.1"
"pli-tv-bu-pm:180.0","Training 14 "
"pli-tv-bu-pm:180.1","pli-tv-bu-vb-sk14:1.3.1"
"pli-tv-bu-pm:181.0","Training 15: Swaying "
"pli-tv-bu-pm:181.1","pli-tv-bu-vb-sk15:1.3.1"
"pli-tv-bu-pm:182.0","Training 16 "
"pli-tv-bu-pm:182.1","pli-tv-bu-vb-sk16:1.3.1"
"pli-tv-bu-pm:183.0","Training 17: Swinging the Arms "
"pli-tv-bu-pm:183.1","pli-tv-bu-vb-sk17:1.3.1"
"pli-tv-bu-pm:184.0","Training 18 "
"pli-tv-bu-pm:184.1","pli-tv-bu-vb-sk18:1.3.1"
"pli-tv-bu-pm:185.0","Training 19: Swaying the Head "
"pli-tv-bu-pm:185.1","pli-tv-bu-vb-sk19:1.3.1"
"pli-tv-bu-pm:186.0","Training 20. "
"pli-tv-bu-pm:186.1","pli-tv-bu-vb-sk20:1.3.1"
"pli-tv-bu-pm:186.2","pli-tv-bu-vb-sk20:1.17"
"pli-tv-bu-pm:187.0.2","Training  21: Arms Akimbo "
"pli-tv-bu-pm:187.1","pli-tv-bu-vb-sk21:1.3.1"
"pli-tv-bu-pm:188.0","Training 22. "
"pli-tv-bu-pm:188.1","pli-tv-bu-vb-sk22:1.3.1"
"pli-tv-bu-pm:189.0","Training 23: Covering the Head "
"pli-tv-bu-pm:189.1","pli-tv-bu-vb-sk23:1.3.1"
"pli-tv-bu-pm:190.0","Training 24. "
"pli-tv-bu-pm:191.1","pli-tv-bu-vb-sk24:1.3.1"
"pli-tv-bu-pm:192.0","Training 25: Squatting "
"pli-tv-bu-pm:192.1","pli-tv-bu-vb-sk25:1.3.1"
"pli-tv-bu-pm:193.0","Training 26: Clasping Knees "
"pli-tv-bu-pm:193.1","pli-tv-bu-vb-sk26:1.3.1"
"pli-tv-bu-pm:194.0","Training 27: Receiving Respectfully "
"pli-tv-bu-pm:194.1","pli-tv-bu-vb-sk27:1.3.1"
"pli-tv-bu-pm:195.0","Training 28: Receiving with Attention on the Bowl "
"pli-tv-bu-pm:195.1","pli-tv-bu-vb-sk28:1.3.1"
"pli-tv-bu-pm:196.0","Training 29: Receiving in Proportion "
"pli-tv-bu-pm:196.1","pli-tv-bu-vb-sk29:1.3.1"
"pli-tv-bu-pm:197.0","Training 30: Receiving Even Level "
"pli-tv-bu-pm:197.1","pli-tv-bu-vb-sk30:1.3.1"
"pli-tv-bu-pm:198.2","pli-tv-bu-vb-sk30:1.11"
"pli-tv-bu-pm:199.0.2","Training 31: Eating Respectfully "
"pli-tv-bu-pm:199.1","pli-tv-bu-vb-sk31:1.3.1"
"pli-tv-bu-pm:200.0","Training 32: Eating with Attention on the Bowl "
"pli-tv-bu-pm:200.1","pli-tv-bu-vb-sk32:1.3.1"
"pli-tv-bu-pm:201.0","Training 33: Eating in Order "
"pli-tv-bu-pm:201.1","pli-tv-bu-vb-sk33:1.3.1"
"pli-tv-bu-pm:202.0","Training 34: Even Measure of Curry "
"pli-tv-bu-pm:202.1","pli-tv-bu-vb-sk34:1.3.1"
"pli-tv-bu-pm:203.0","Training 35: Making Food into a Monument "
"pli-tv-bu-pm:203.1","pli-tv-bu-vb-sk35:1.3.1"
"pli-tv-bu-pm:204.0","Training 36: Covering with Rice "
"pli-tv-bu-pm:204.1","pli-tv-bu-vb-sk36:1.3.1"
"pli-tv-bu-pm:205.0","Training 37: Asking for Rice and Curry "
"pli-tv-bu-pm:205.1","pli-tv-bu-vb-sk37:2.10.1"
"pli-tv-bu-pm:206.0","Training 38: Finding Fault "
"pli-tv-bu-pm:206.1","pli-tv-bu-vb-sk38:1.3.1"
"pli-tv-bu-pm:207.0","Training 39: Overlarge Mouthful "
"pli-tv-bu-pm:207.1","pli-tv-bu-vb-sk39:1.3.1"
"pli-tv-bu-pm:208.0","Round Mouthful "
"pli-tv-bu-pm:208.1","pli-tv-bu-vb-sk40:1.3.1"
"pli-tv-bu-pm:208.2","pli-tv-bu-vb-sk40:1.18"
"pli-tv-bu-pm:209.0.2","Training 41: Without Bringing "
"pli-tv-bu-pm:209.1","pli-tv-bu-vb-sk41:1.3.1"
"pli-tv-bu-pm:210.0","Training 42: Whole Hand "
"pli-tv-bu-pm:210.1","pli-tv-bu-vb-sk42:1.3.1"
"pli-tv-bu-pm:211.0","Training 43: Mouth Full "
"pli-tv-bu-pm:211.1","pli-tv-bu-vb-sk43:1.3.1"
"pli-tv-bu-pm:212.0","Training 44: Lifted Lump "
"pli-tv-bu-pm:212.1","pli-tv-bu-vb-sk44:1.3.1"
"pli-tv-bu-pm:213.0","Training 45: Breaking Lumps "
"pli-tv-bu-pm:213.1","pli-tv-bu-vb-sk45:1.3.1"
"pli-tv-bu-pm:214.0","Training 46: Stuffing Cheeks "
"pli-tv-bu-pm:214.1","pli-tv-bu-vb-sk46:1.3.1"
"pli-tv-bu-pm:215.0","Training 47: Shaking the Hand "
"pli-tv-bu-pm:215.1","pli-tv-bu-vb-sk47:1.3.1"
"pli-tv-bu-pm:216.0","Training 48: Scattering Rice "
"pli-tv-bu-pm:216.1","pli-tv-bu-vb-sk48:1.3.1"
"pli-tv-bu-pm:217.0","Training 49: Poking the Tongue "
"pli-tv-bu-pm:217.1","pli-tv-bu-vb-sk49:1.3.1"
"pli-tv-bu-pm:218.0","Training 50: Chomping "
"pli-tv-bu-pm:218.1","pli-tv-bu-vb-sk50:1.3.1"
"pli-tv-bu-pm:218.2","pli-tv-bu-vb-sk50:1.10"
"pli-tv-bu-pm:219.0.2","Training 51: Slurping "
"pli-tv-bu-pm:219.1","pli-tv-bu-vb-sk51:1.19.1"
"pli-tv-bu-pm:220.0","Training 52: Licking the Hands "
"pli-tv-bu-pm:220.1","pli-tv-bu-vb-sk52:1.3.1"
"pli-tv-bu-pm:221.0","Training 53: Licking the Bowl "
"pli-tv-bu-pm:221.1","pli-tv-bu-vb-sk53:1.3.1"
"pli-tv-bu-pm:222.0","Training 54: Licking the Lips "
"pli-tv-bu-pm:222.1","pli-tv-bu-vb-sk54:1.3.1"
"pli-tv-bu-pm:223.0","Training 55: Soiling "
"pli-tv-bu-pm:223.1","pli-tv-bu-vb-sk55:1.14.1"
"pli-tv-bu-pm:224.0","Training 56: Washing Water with Rice "
"pli-tv-bu-pm:224.1","pli-tv-bu-vb-sk56:1.14.1"
"pli-tv-bu-pm:225.0","Training 57: Holding a Sunshade "
"pli-tv-bu-pm:225.1","pli-tv-bu-vb-sk57:2.9.1"
"pli-tv-bu-pm:226.0","Training 58: Holding a staff "
"pli-tv-bu-pm:226.1","pli-tv-bu-vb-sk58:1.3.1"
"pli-tv-bu-pm:227.0","Training 59: Holding a Knife "
"pli-tv-bu-pm:227.1","pli-tv-bu-vb-sk59:1.3.1"
"pli-tv-bu-pm:228.0","Training 60: Holding a Weapon "
"pli-tv-bu-pm:228.1","pli-tv-bu-vb-sk60:1.3.1"
"pli-tv-bu-pm:228.2","pli-tv-bu-vb-sk60:1.12"
"pli-tv-bu-pm:229.0.2","Training 61: Shoes "
"pli-tv-bu-pm:229.1","pli-tv-bu-vb-sk61:1.3.1"
"pli-tv-bu-pm:230.0","Training 62: Sandals "
"pli-tv-bu-pm:230.1","pli-tv-bu-vb-sk62:1.3.1"
"pli-tv-bu-pm:231.0","Training 63: Vehicle "
"pli-tv-bu-pm:231.1","pli-tv-bu-vb-sk63:1.3.1"
"pli-tv-bu-pm:232.0","Training 64: Lying Down "
"pli-tv-bu-pm:232.1","pli-tv-bu-vb-sk64:1.3.1"
"pli-tv-bu-pm:233.0","Training 65: Clasping Knees "
"pli-tv-bu-pm:233.1","pli-tv-bu-vb-sk65:1.3.1"
"pli-tv-bu-pm:234.0","Training 66: Headdresses "
"pli-tv-bu-pm:234.1","pli-tv-bu-vb-sk66:1.3.1"
"pli-tv-bu-pm:235.0","Training 67: Covering the Head "
"pli-tv-bu-pm:235.1","pli-tv-bu-vb-sk67:1.3.1"
"pli-tv-bu-pm:236.0","Training 68: On the Ground "
"pli-tv-bu-pm:236.1","pli-tv-bu-vb-sk68:1.3.1"
"pli-tv-bu-pm:237.0","Training 69: Low Seats "
"pli-tv-bu-pm:237.1","pli-tv-bu-vb-sk69:1.46.1"
"pli-tv-bu-pm:238.0","Training 70: Standing "
"pli-tv-bu-pm:238.1","pli-tv-bu-vb-sk70:1.3.1"
"pli-tv-bu-pm:239.0","Training 71: Walking Behind "
"pli-tv-bu-pm:239.1","pli-tv-bu-vb-sk71:1.3.1"
"pli-tv-bu-pm:240.0","Training 72: Off the Path "
"pli-tv-bu-pm:240.1","pli-tv-bu-vb-sk72:1.3.1"
"pli-tv-bu-pm:241.0","Training 73: While Standing "
"pli-tv-bu-pm:241.1","pli-tv-bu-vb-sk73:1.3.1"
"pli-tv-bu-pm:242.0","Training 74: On Plants "
"pli-tv-bu-pm:242.1","pli-tv-bu-vb-sk74:1.3.1"
"pli-tv-bu-pm:243.0","Training 75: In Water "
"pli-tv-bu-pm:243.1","pli-tv-bu-vb-sk75:2.6.1"
"pli-tv-bu-pm:243.2","pli-tv-bu-vb-sk75:2.21"
"pli-tv-bu-pm:244.1","pli-tv-bu-vb-sk75:2.22"
"pli-tv-bu-pm:244.2","pli-tv-bu-vb-sk75:2.23,pli-tv-bu-vb-sk75:2.24"
"pli-tv-bu-pm:244.3","pli-tv-bu-vb-sk75:2.25,pli-tv-bu-vb-sk75:2.26"
"pli-tv-bu-pm:244.4","pli-tv-bu-vb-sk75:2.27,pli-tv-bu-vb-sk75:2.28"
"pli-tv-bu-pm:244.5","pli-tv-bu-vb-sk75:2.29"
"pli-tv-bu-pm:244.6","pli-tv-bu-vb-sk75:2.31"
"pli-tv-bu-pm:245.0","pli-tv-bu-vb-as1:0.3"
"pli-tv-bu-pm:245.1","pli-tv-bu-vb-as1:1.1"
"pli-tv-bu-pm:246.1","pli-tv-bu-vb-as1:2.1"
"pli-tv-bu-pm:247.0","Settling Legal Issues 1 "
"pli-tv-bu-pm:247.1","pli-tv-bu-vb-as1:2.2"
"pli-tv-bu-pm:248.0","Settling Legal Issues 2 "
"pli-tv-bu-pm:248.1","pli-tv-bu-vb-as2:1.1"
"pli-tv-bu-pm:249.0","Settling Legal Issues 3 "
"pli-tv-bu-pm:249.1","pli-tv-bu-vb-as3:1.1"
"pli-tv-bu-pm:250.0","Settling Legal Issues 4 "
"pli-tv-bu-pm:250.1","pli-tv-bu-vb-as4:1.1"
"pli-tv-bu-pm:251.0","Settling Legal Issues 5 "
"pli-tv-bu-pm:251.1","pli-tv-bu-vb-as5:1.1"
"pli-tv-bu-pm:252.0","Settling Legal Issues 6 "
"pli-tv-bu-pm:252.1","pli-tv-bu-vb-as6:1.1"
"pli-tv-bu-pm:253.0","Settling Legal Issues 7 "
"pli-tv-bu-pm:253.1","pli-tv-bu-vb-as7:1.1"
"pli-tv-bu-pm:254.1","pli-tv-bu-vb-as7:2.1"
"pli-tv-bu-pm:254.2","pli-tv-bu-vb-as7:2.2,pli-tv-bu-vb-as7:2.3"
"pli-tv-bu-pm:254.3","pli-tv-bu-vb-as7:2.4,pli-tv-bu-vb-as7:2.5"
"pli-tv-bu-pm:254.4","pli-tv-bu-vb-as7:2.6,pli-tv-bu-vb-as7:2.7"
"pli-tv-bu-pm:254.5","pli-tv-bu-vb-as7:2.8"
"pli-tv-bu-pm:254.6","pli-tv-bu-vb-as7:3.1"
"pli-tv-bu-pm:255.1","pli-tv-bu-vb-as7:4.1"
"pli-tv-bu-pm:255.2","pli-tv-bu-vb-as7:4.2"
"pli-tv-bu-pm:255.3","pli-tv-bu-vb-as7:4.3"
"pli-tv-bu-pm:255.4","pli-tv-bu-vb-as7:4.4"
"pli-tv-bu-pm:255.5","pli-tv-bu-vb-as7:4.5"
"pli-tv-bu-pm:255.6","pli-tv-bu-vb-as7:4.6"
"pli-tv-bu-pm:255.7","pli-tv-bu-vb-as7:4.7"
"pli-tv-bu-pm:255.8","pli-tv-bu-vb-as7:4.8"
"pli-tv-bu-pm:255.9","pli-tv-bu-vb-as7:4.9"
"pli-tv-bu-pm:255.10","pli-tv-bu-vb-as7:4.10"
"pli-tv-bu-pm:255.11","pli-tv-bu-vb-as7:4.11"
